scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
0,1HK1162031VCH,1199.0,無折扣,1.0,無折扣,1.0,無折扣,1.0,2,2,2,2,2,2,2,0,0,0,0,0,1,2025-04-14
1,108JH8643,799.0,VIP 10% Off,0.9,無折扣,1.0,無折扣,1.0,2,2,2,2,2,2,2,2,2,2,2,1,1,2025-04-14
2,108JI0196,799.0,VIP 10% Off,0.9,無折扣,1.0,無折扣,1.0,2,2,2,2,2,0,0,0,0,0,0,2,1,2025-04-14
3,1HK1162031WWH,1199.0,無折扣,1.0,無折扣,1.0,無折扣,1.0,2,2,2,2,2,2,2,0,0,0,0,3,1,2025-04-14
4,1HK1162031BBLC,1199.0,無折扣,1.0,無折扣,1.0,無折扣,1.0,2,2,2,2,2,2,2,0,0,0,0,4,1,2025-04-14
5,150A11863C,599.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,1,0,0,0,0,0,0,0,0,0,0,5,1,2025-04-14
6,150A13465C,699.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,0,0,0,0,0,0,0,0,0,0,6,1,2025-04-14
7,150A13469C,549.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,1,0,0,0,0,0,0,0,0,0,7,1,2025-04-14
8,150A13470C,549.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,2,2,2,2,1,1,0,8,1,2025-04-14
9,150A11861C,599.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,0,0,0,0,0,0,0,0,0,0,9,1,2025-04-14
10,150A13467C,699.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,2,2,2,2,1,1,0,10,1,2025-04-14
11,150A13471C,549.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,0,0,0,0,0,0,0,0,0,0,11,1,2025-04-14
12,150A15069C,599.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,0,0,0,0,0,0,0,0,0,0,12,1,2025-04-14
13,150A12196C,649.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,1,1,1,1,1,1,1,1,1,0,13,1,2025-04-14
14,108JH5632,899.0,無折扣,1.0,無折扣,1.0,無折扣,1.0,2,2,2,2,1,1,1,1,1,1,1,14,1,2025-04-14
15,108JI3202,899.0,無折扣,1.0,無折扣,1.0,無折扣,1.0,2,2,2,2,2,2,2,2,2,2,1,15,1,2025-04-14
16,112U530NEA,799.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,2,2,2,2,2,2,0,16,1,2025-04-14
17,112U530NEB,799.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,0,0,0,0,0,0,0,17,1,2025-04-14
18,112WS327FTA,849.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,2,2,0,0,0,0,0,18,1,2025-04-14
19,112U1906RNE,1099.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,2,2,2,0,0,0,0,19,1,2025-04-14
20,112U1906RNF,1099.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,1,0,0,0,0,0,0,0,20,1,2025-04-14
21,112U327GPA,849.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,2,2,2,2,2,2,0,21,1,2025-04-14
22,112U327GPB,849.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,2,2,2,2,2,2,0,22,1,2025-04-14
23,112U530NEC,799.0,Buy 1 Get 10% Off,0.9,Buy 2 Get 20% Off,0.8,無折扣,1.0,2,2,2,2,2,2,2,2,2,2,0,23,1,2025-04-14
