scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
15041500,1HK1147851BSW,839,No Discount,100,No Discount,100,No Discount,100,2,1,1,1,1,1,1,0,0,0,0,0,0,2025-04-15
15041501,1HK1164033BBLC,879,No Discount,100,No Discount,100,No Discount,100,1,2,2,2,2,0,0,0,0,0,0,1,0,2025-04-15
15041502,1HK1147810WTLT,1199,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,2,0,2025-04-15
15041503,1HK1155113FSTS,1349,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,0,0,0,0,0,0,3,0,2025-04-15
15041504,1HK1147810BKFS,1199,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,2,0,0,0,0,0,4,0,2025-04-15
15041505,1HK1155151SZQ,1599,10% Off,90,No Discount,100,No Discount,100,2,1,2,2,1,2,2,0,0,0,0,5,0,2025-04-15
15041506,1HK1141570ORZ,999,No Discount,100,No Discount,100,No Discount,100,1,1,2,2,2,2,1,2,0,1,0,6,0,2025-04-15
15041507,1HK1155196OKS,1899,10% Off,90,No Discount,100,No Discount,100,2,2,2,1,1,1,1,0,0,0,0,7,0,2025-04-15
15041508,1HK1147811OMN,1299,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,8,0,2025-04-15
15041509,1HK1155350BLTR,1499,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,1,2,2,2,2,9,0,2025-04-15
15041510,1HK1134532STLLT,899,10% Off,90,No Discount,100,No Discount,100,0,2,0,2,0,2,0,1,0,1,0,10,0,2025-04-15
15041511,1HK1155370BWHT,1199,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,11,0,2025-04-15
15041512,1HK1162012WWH,1499,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,2,0,0,0,0,12,0,2025-04-15
15041513,1HK1162850SSTST,1299,No Discount,100,No Discount,100,No Discount,100,0,1,1,1,1,1,1,1,1,1,0,13,0,2025-04-15
15041514,1HK1133958FDEGG,1499,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,14,0,2025-04-15
15041515,1HK1155350SHK,1499,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,15,0,2025-04-15
15041516,1HK1147952BBLC,1699,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,1,2,1,1,1,0,16,0,2025-04-15
15041517,1HK1164033WWH,879,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,1,0,0,0,0,17,0,2025-04-15
15041518,1HK1123112WHWH,1199,10% Off,90,No Discount,100,No Discount,100,0,0,2,1,2,2,2,2,0,1,1,18,0,2025-04-15
15041519,1HK1127952WWH,839,No Discount,100,No Discount,100,No Discount,100,2,2,2,0,2,2,2,1,0,0,0,19,0,2025-04-15
15041520,1HK1162031VCH,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,20,0,2025-04-15
15041521,1HK1162031WWH,1199,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,21,0,2025-04-15
15041522,1HK1127952SLRL,1119,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,22,0,2025-04-15
15041523,1HK1127896FCK,1039,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,1,0,0,0,0,0,23,0,2025-04-15
15041524,1HK1142830FBBLC,1279,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,24,0,2025-04-15
15041525,1MLJ85950,239,No Discount,100,No Discount,100,No Discount,100,1,2,1,1,1,1,1,1,0,0,0,25,0,2025-04-15
15041526,108IF7005,539,No Discount,100,No Discount,100,No Discount,100,2,1,1,2,2,2,0,0,0,0,0,26,0,2025-04-15
15041527,108IE3699,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,1,1,1,1,1,27,0,2025-04-15
15041528,108ID8845,999,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,28,0,2025-04-15
15041529,108IE1435,289,No Discount,100,No Discount,100,No Discount,100,2,0,2,0,2,0,1,0,1,0,1,29,0,2025-04-15
15041530,108IE8800,418,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,0,0,0,0,0,30,0,2025-04-15
15041531,108IG1273,299,VIP 10% Off,90,No Discount,100,No Discount,100,2,0,2,0,2,0,2,0,2,0,2,31,0,2025-04-15
15041532,108BB5476,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,32,0,2025-04-15
15041533,108B75806,899,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,33,0,2025-04-15
15041534,108BB5480,639,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,1,1,2,1,2,34,0,2025-04-15
15041535,108EG6517,259,VIP 10% Off,90,No Discount,100,No Discount,100,1,0,1,0,2,0,2,0,2,0,2,35,0,2025-04-15
15041536,108GZ5891,299,VIP 10% Off,90,No Discount,100,No Discount,100,2,0,1,0,2,0,1,0,1,0,1,36,0,2025-04-15
15041537,108HQ4204,1099,VIP 10% Off,90,No Discount,100,No Discount,100,2,1,2,1,1,1,0,0,0,0,0,37,0,2025-04-15
15041538,108HQ8708,599,No Discount,100,No Discount,100,No Discount,100,1,1,1,2,1,1,0,2,2,2,2,38,0,2025-04-15
