scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
120415408,1CB2100191096,1279,No Discount,100,No Discount,100,No Discount,100,0,2,0,2,0,2,0,0,0,0,0,408,0,15/4/2025
120415409,1CB2101081091,1279,No Discount,100,No Discount,100,No Discount,100,0,2,0,2,0,2,0,0,0,0,0,409,0,15/4/2025
120415410,1CB2101081101,1279,No Discount,100,No Discount,100,No Discount,100,0,2,0,2,0,2,0,0,0,0,0,410,0,15/4/2025
120415411,1CS100016ZW,468,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,411,0,15/4/2025
120415412,1BK1027630,590,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,412,0,15/4/2025
120415413,1BK1027697,750,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,413,0,15/4/2025
120415414,1BK552683,790,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,414,0,15/4/2025
120415415,1CS100013YO,468,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,415,0,15/4/2025
120415416,1CS206750100,538,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,416,0,15/4/2025
120415417,1CS2067502Y2,538,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,417,0,15/4/2025
120415418,1CS207446060,249,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,418,0,15/4/2025
120415419,1CS208371001,339,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,419,0,15/4/2025
120415420,1CS208371100,339,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,420,0,15/4/2025
120415421,1CS208371410,339,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,421,0,15/4/2025
120415422,1CS208776001,568,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,422,0,15/4/2025
120415423,1CS2087312Y2,249,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,423,0,15/4/2025
120415424,1CS209563001,379,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,424,0,15/4/2025
120415425,1CS209483769,349,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,425,0,15/4/2025
120415426,1CS2067080WW,399,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,426,0,15/4/2025
120415427,1CS2072410WV,568,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,427,0,15/4/2025
120415428,1CS209938001,698,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,428,0,15/4/2025
120415429,1CS210103100,499,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,429,0,15/4/2025
120415430,1CS20675076O,399,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,430,0,15/4/2025
120415431,1CS21034390H,339,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,431,0,15/4/2025
120415432,1CS210581001,538,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,432,0,15/4/2025
120415433,1CS2067506XF,379,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,433,0,15/4/2025
120415434,1CS21022490H,668,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,434,0,15/4/2025
120415435,1CS2096826ZR,379,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,435,0,15/4/2025
120415436,1CS2109276ZR,538,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,436,0,15/4/2025
120415437,1CS2109796XX,738,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,437,0,15/4/2025
120415438,1CS209964001,638,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,438,0,15/4/2025
120415439,1CS21087790H,698,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,439,0,15/4/2025
120415440,1CS2110245BR,598,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,440,0,15/4/2025
120415441,1CS206302001,698,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,441,0,15/4/2025
120415442,1CS209937060,698,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,442,0,15/4/2025
120415443,1CS2099371HR,698,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,443,0,15/4/2025
120415444,1CS2099641FT,638,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,444,0,15/4/2025
