scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
0150416206,112U327SKC,849.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,206,0,2025-04-16
0150416207,185129644NAT,1099.0,Buy 2 Get 20% Off,80,Buy 3 Get 30% Off,70,VIP 15% Off,85,0,2,0,2,0,2,0,0,0,0,0,207,0,2025-04-16
0150416208,185150584NTGD,999.0,Buy 2 Get 20% Off,80,Buy 3 Get 30% Off,70,VIP 15% Off,85,0,2,0,2,0,2,0,0,0,0,0,208,0,2025-04-16
0150416209,1HK1155350BLTR,1499.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,1,2,2,2,2,209,0,2025-04-16
0150416210,1HK1147811OMN,1299.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,210,0,2025-04-16
0150416211,185150581LPMT,999.0,Buy 2 Get 20% Off,80,Buy 3 Get 30% Off,70,VIP 15% Off,85,0,2,0,2,0,2,0,0,0,0,0,211,0,2025-04-16
0150416212,1HK1134498OLZ,1199.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,212,0,2025-04-16
0150416213,1CS21082990H,638.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,213,0,2025-04-16
0150416214,1HK1147811NDS,1299.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,2,0,0,0,0,214,0,2025-04-16
0150416215,1CB2100191010,1279.0,No Discount,100,No Discount,100,No Discount,100,0,2,0,2,0,2,0,0,0,0,0,215,0,2025-04-16
0150416216,1CB2100191096,1279.0,No Discount,100,No Discount,100,No Discount,100,0,2,0,2,0,2,0,0,0,0,0,216,0,2025-04-16
0150416217,1151012B876200,890.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,1,2,2,1,1,1,0,0,0,217,0,2025-04-16
