scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
0125041400,1HK1147851BSW,839.0,No Discount,100,No Discount,100,No Discount,100,2,1,1,1,1,1,1,0,0,0,0,0,0,2025-04-14
0125041401,1HK1164033BBLC,879.0,No Discount,100,No Discount,100,No Discount,100,1,2,2,2,2,0,0,0,0,0,0,1,0,2025-04-14
0125041402,1HK1147810WTLT,1199.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,2,0,2025-04-14
0125041403,1HK1155113FSTS,1349.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,0,0,0,0,0,0,3,0,2025-04-14
0125041404,1HK1147810BKFS,1199.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,2,0,0,0,0,0,4,0,2025-04-14
0125041405,1HK1155151SZQ,1599.0,10% Off,90,No Discount,100,No Discount,100,2,1,2,2,1,2,2,0,0,0,0,5,0,2025-04-14
0125041406,1HK1141570ORZ,999.0,No Discount,100,No Discount,100,No Discount,100,1,1,2,2,2,2,1,2,0,1,0,6,0,2025-04-14
0125041407,1HK1155196OKS,1899.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,1,1,1,1,0,0,0,0,7,0,2025-04-14
0125041408,1HK1147811OMN,1299.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,8,0,2025-04-14
0125041409,1HK1155350BLTR,1499.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,1,2,2,2,2,9,0,2025-04-14
0125041410,1HK1134532STLLT,899.0,10% Off,90,No Discount,100,No Discount,100,0,2,0,2,0,2,0,1,0,1,0,10,0,2025-04-14
0125041411,1HK1155370BWHT,1199.0,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,11,0,2025-04-14
0125041412,1HK1162012WWH,1499.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,1,2,0,0,0,0,12,0,2025-04-14
0125041413,1HK1162850SSTST,1299.0,No Discount,100,No Discount,100,No Discount,100,0,1,1,1,1,1,1,1,1,1,0,13,0,2025-04-14
0125041414,1HK1133958FDEGG,1499.0,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,14,0,2025-04-14
0125041415,1HK1155350SHK,1499.0,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,2,15,0,2025-04-14
0125041416,1HK1147952BBLC,1699.0,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,1,2,1,1,1,0,16,0,2025-04-14
0125041417,1HK1164033WWH,879.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,1,0,0,0,0,17,0,2025-04-14
0125041418,1HK1123112WHWH,1199.0,10% Off,90,No Discount,100,No Discount,100,0,0,2,1,2,2,2,2,0,1,1,18,0,2025-04-14
0125041419,1HK1127952SLRL,1119.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,19,0,2025-04-14
0125041420,1HK1127896FCK,1039.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,1,0,0,0,0,0,20,0,2025-04-14
0125041421,1HK1142830FBBLC,1279.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,21,0,2025-04-14
0125041422,1MLJ85950,239.0,No Discount,100,No Discount,100,No Discount,100,1,2,1,1,1,1,1,1,0,0,0,22,0,2025-04-14
0125041423,1HK1127952WWH,839.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,0,2,2,2,1,0,0,0,23,0,2025-04-14
