scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
0110420197,108JS3042,899.0,Buy 2 Get 20% Off,80,VIP 10% Off,90,No Discount,100,1,1,1,2,1,2,2,1,2,1,1,197,0,2025-04-20
0110420198,112ML725CF,679.0,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,198,0,2025-04-20
0110420199,1CS21089690H,638.0,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,199,0,2025-04-20
0110420200,1151011B978002,1190.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,1,200,0,2025-04-20
0110420201,1151011C100001,1490.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,1,2,2,2,2,2,2,2,1,1,201,0,2025-04-20
0110420202,108JP7149,1199.0,No Discount,100,No Discount,100,No Discount,100,0,0,0,1,2,1,1,1,1,1,1,202,0,2025-04-20
0110420203,1151011C093001,1390.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,2,1,1,2,2,1,1,1,2,203,0,2025-04-20
0110420204,1151011C101001,990.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,2,2,2,1,2,1,1,2,2,204,0,2025-04-20
0110420205,108JI1384,1499.0,Buy 2 Get 20% Off,80,VIP 10% Off,90,No Discount,100,1,1,1,2,2,2,2,2,2,2,2,205,0,2025-04-20
0110420206,1151273A055600,790.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,0,0,2,2,2,2,2,0,0,206,0,2025-04-20
0110420207,1151273A056300,790.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,0,2,1,2,2,2,2,0,0,207,0,2025-04-20
0110420208,1661164651BLK,399.0,10% Off,90,VIP 15% Off,85,No Discount,100,0,2,0,2,0,2,0,2,0,2,0,208,0,2025-04-20
0110420209,1661164651DOL,399.0,10% Off,90,VIP 15% Off,85,No Discount,100,0,1,0,2,0,2,0,2,0,2,0,209,0,2025-04-20
0110420210,108ID3882,1799.0,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,1,2,2,2,2,2,2,2,2,210,0,2025-04-20
0110420211,1151273A006600,790.0,VIP 10% Off,90,No Discount,100,No Discount,100,2,0,0,2,2,2,2,2,2,0,0,211,0,2025-04-20
0110420212,108ID3782,599.0,Buy 2 Get 20% Off,80,VIP 10% Off,90,No Discount,100,0,0,0,2,2,2,2,2,2,2,2,212,0,2025-04-20
0110420213,1151041A489110,590.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,1,2,2,2,2,2,2,2,2,2,213,0,2025-04-20
0110420214,1151041A489500,590.0,VIP 10% Off,90,No Discount,100,No Discount,100,0,1,2,2,2,2,2,2,2,2,1,214,0,2025-04-20
0110420215,108JQ7439,639.0,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,215,0,2025-04-20
0110420216,108ID1319,699.0,Buy 2 Get 20% Off,80,VIP 10% Off,90,No Discount,100,1,1,1,2,2,2,2,2,2,2,2,216,0,2025-04-20
0110420217,108ID3745,599.0,Buy 2 Get 20% Off,80,VIP 10% Off,90,No Discount,100,0,0,0,2,2,2,2,2,2,2,2,217,0,2025-04-20
0110420218,108ID3837,599.0,Buy 2 Get 20% Off,80,VIP 10% Off,90,No Discount,100,0,0,0,2,2,2,2,2,2,2,2,218,0,2025-04-20
0110420219,108ID9049,599.0,Buy 2 Get 20% Off,80,VIP 10% Off,90,No Discount,100,0,0,0,2,2,2,2,2,2,2,2,219,0,2025-04-20
